	1.00		0.75		0.50		0.25		0.15		0.05	
1	1.88e-2	1.74e-2	1.99e-2	1.90e-2	2.09e-2	2.08e-2	2.24e-2	2.29e-2	2.35e-2	2.40e-2	2.40e-2	2.38e-2
2	5.38e-3	4.97e-3	5.79e-3	5.53e-3	6.31e-3	6.16e-3	7.01e-3	7.08e-3	7.45e-3	7.61e-3	7.78e-3	7.77e-3
3	2.47e-3	2.23e-3	2.74e-3	2.55e-3	3.03e-3	2.89e-3	3.47e-3	3.38e-3	3.65e-3	3.68e-3	3.83e-3	3.89e-3
5	9.63e-4	8.36e-4	1.07e-3	9.51e-4	1.20e-3	1.07e-3	1.41e-3	1.34e-3	1.50e-3	1.47e-3	1.61e-3	1.63e-3
10	2.77e-4	2.21e-4	2.89e-4	2.46e-4	3.31e-4	2.78e-4	3.89e-4	3.55e-4	4.22e-4	3.94e-4	4.74e-4	4.59e-4
20	7.19e-5	5.46e-5	7.65e-5	6.16e-5	8.72e-5	7.18e-5	1.06e-4	9.03e-5	1.15e-4	1.01e-4	1.33e-4	1.23e-4
30	3.23e-5	2.34e-5	3.58e-5	2.59e-5	4.01e-5	3.07e-5	4.74e-5	3.95e-5	5.34e-5	4.53e-5	6.10e-5	5.58e-5
50	1.16e-5	7.99e-6	1.28e-5	9.07e-6	1.45e-5	1.08e-5	1.77e-5	1.38e-5	1.98e-5	1.60e-5	2.34e-5	1.98e-5
100	2.80e-6	1.73e-6	3.11e-6	1.99e-6	3.59e-6	2.39e-6	4.51e-6	3.20e-6	5.00e-6	3.74e-6	6.00e-6	4.80e-6
200	6.71e-7	3.67e-7	7.37e-7	4.26e-7	8.62e-7	5.28e-7	1.10e-6	7.04e-7	1.23e-6	8.29e-7	1.49e-6	1.09e-6
300	2.69e-7	1.43e-7	3.21e-7	1.75e-7	3.71e-7	2.14e-7	4.82e-7	3.02e-7	5.34e-7	3.40e-7	6.49e-7	4.45e-7
500	8.95e-8	4.40e-8	1.02e-7	5.23e-8	1.25e-7	6.64e-8	1.67e-7	9.93e-8	1.82e-7	1.09e-7	2.18e-7	1.43e-7
1000	1.82e-8	8.37e-9	2.18e-8	1.04e-8	2.72e-8	1.34e-8	3.71e-8	1.91e-8	4.26e-8	2.29e-8	5.07e-8	3.01e-8
2000	3.33e-9	1.50e-9	4.10e-9	1.87e-9	5.53e-9	2.58e-9	7.93e-9	3.88e-9	9.39e-9	4.72e-9	1.14e-8	6.01e-9
3000	1.21e-9	5.33e-10	1.53e-9	6.73e-10	2.08e-9	9.59e-10	3.12e-9	1.44e-9	3.77e-9	1.72e-9	4.75e-9	2.45e-9
5000	3.33e-10	1.41e-10	4.28e-10	1.80e-10	5.98e-10	2.60e-10	9.37e-10	4.20e-10	1.14e-9	5.03e-10	1.50e-9	6.91e-10
10000	5.27e-11	2.21e-11	6.89e-11	2.86e-11	1.01e-10	4.32e-11	1.71e-10	7.07e-11	2.08e-10	8.82e-11	2.91e-10	1.25e-10
