Element	C1	C2	C3	C4	C5	C6	U1	U2
01 H hydrogen	1.40e-3		1.520e-3					
02 He helium	8e-9							
03 Li lithium	2.0e-5	2.0e-5	1.8e-5	1.3e-5	1.37e-5		2.0e-5	2.2e-5
04 Be beryllium	2.8e-6	2.0e-6	2e-6	1.500e-6			3.000e-6	
05 B boron	1.0e-5	7.0e-6	9e-6	1.0000e-5			1.5000e-5	
06 C carbon	2.00e-4		1.80e-4		3.76e-3			
07 N nitrogen	1.9e-5	2.0e-5	1.9e-5					
08 O oxygen	4.61e-1	3.7e-1	4.55000e-1					
09 F fluorine	5.85e-4	4.6e-4	5.44e-4		5.25e-4			
10 Ne neon	5e-9							
11 Na sodium	2.36e-2	2.3e-2	2.2700e-2	2.3000e-2	2.4400e-2	3.1000e-2	2.89e-2	2.57e-2
12 Mg magnesium	2.33e-2	2.8e-2	2.7640e-2	3.20e-2	2.37e-2	1.69e-2	1.33e-2	1.35e-2
13 Al aluminium	8.23e-2	8.0e-2	8.3000e-2	8.4100e-2	8.3050e-2	8.5200e-2	8.0400e-2	7.7400e-2
14 Si silicon	2.82e-1	2.7e-1	2.72000e-1	2.677e-1	2.81e-1	2.95e-1	3.08e-1	3.04e-1
15 P phosphorus	1.05e-3	1.0e-3	1.120e-3		7.63e-4	8.30e-4		
16 S sulfur	3.50e-4	3.0e-4	3.40e-4		8.81e-4			
17 Cl chlorine	1.45e-4	1.9e-4	1.26e-4		1.900e-3			
18 Ar argon	3.5e-6							
19 K potassium	2.09e-2	1.7e-2	1.8400e-2	9.100e-3	1.7600e-2	1.7000e-2	2.8000e-2	2.5700e-2
20 Ca calcium	4.15e-2	5.1e-2	4.6600e-2	5.2900e-2	4.9200e-2	3.4000e-2	3.0000e-2	2.9500e-2
21 Sc scandium	2.2e-5	2.2e-5	2.5e-5	3.0e-5	2.14e-5		1.1e-5	7e-6
22 Ti titanium	5.65e-3	8.6e-3	6.320e-3	5.400e-3	5.250e-3	3.600e-3	3.000e-3	3.120e-3
23 V vanadium	1.20e-4	1.7e-4	1.36e-4	2.30e-4	1.34e-4		6.0e-5	5.3e-5
24 Cr chromium	1.02e-4	9.6e-5	1.22e-4	1.85e-4	1.46e-4	5.6e-5	3.5e-5	3.5e-5
25 Mn manganese	9.50e-4	1.0e-3	1.060e-3	1.400e-3	8.47e-4	1.000e-3	6.00e-4	5.27e-4
26 Fe iron	5.63e-2	5.8e-2	6.2000e-2	7.07e-2	4.92e-2	3.8e-2	3.50e-2	3.09e-2
27 Co cobalt	2.5e-5	2.8e-5	2.9e-5	2.9e-5	2.54e-5		1.0e-5	1.2e-5
28 Ni nickel	8.4e-5	7.2e-5	9.9e-5	1.05e-4	6.95e-5	3.5e-5	2e-5	1.9e-5
29 Cu copper	6.0e-5	5.8e-5	6.8e-5	7.5e-5	4.7e-5		2.5e-5	1.4e-5
30 Zn zinc	7.0e-5	8.2e-5	7.6e-5	8.0e-5	7.6e-5		7.1e-5	5.2e-5
31 Ga gallium	1.9e-5	1.7e-5	1.9e-5	1.8e-5	1.86e-5		1.7e-5	1.4e-5
32 Ge germanium	1.5e-6	1.3e-6	1.5e-6	1.6e-6	1.32e-6		1.6e-6	
33 As arsenic	1.8e-6	2.0e-6	1.8e-6	1.0e-6	2.03e-6		1.5e-6	
34 Se selenium	5e-8	5e-8	5e-8	5e-8	1.53e-7		5e-8	
35 Br bromine	2.4e-6	4.0e-6	2.5e-6		6.95e-6			
36 Kr krypton	1e-10							
37 Rb rubidium	9.0e-5	7.0e-5	7.8e-5	3.2e-5	7.90e-5	6.1e-5	1.12e-4	1.10e-4
38 Sr strontium	3.70e-4	4.5e-4	3.84e-4	2.60e-4	2.93e-4	5.03e-4	3.50e-4	3.16e-4
39 Y yttrium	3.3e-5	3.5e-7	3.1e-5	2.0e-5		1.4e-5	2.2e-5	2.1e-5
40 Zr zirconium	1.65e-4	1.4e-4	1.62e-4	1.00e-4		2.10e-4	1.90e-4	2.40e-4
41 Nb niobium	2.0e-5	2.0e-5	2.0e-5	1.1000e-5		1.3000e-5	2.5000e-5	2.6000e-5
